taxon_id	taxon_group
NCBITaxon:2246	ARCHAEAL
NCBITaxon:2248	ARCHAEAL
NCBITaxon:2250	ARCHAEAL
NCBITaxon:2251	ARCHAEAL
NCBITaxon:2252	ARCHAEAL
NCBITaxon:2261	ARCHAEAL
NCBITaxon:2263	ARCHAEAL
NCBITaxon:2284	ARCHAEAL
NCBITaxon:2285	ARCHAEAL
NCBITaxon:2286	ARCHAEAL
NCBITaxon:2287	ARCHAEAL
NCBITaxon:2288	ARCHAEAL
NCBITaxon:2302	ARCHAEAL
NCBITaxon:2303	ARCHAEAL
NCBITaxon:2336	OTHER_BACTERIAL
NCBITaxon:2426	OTHER_BACTERIAL
NCBITaxon:2433	OTHER_BACTERIAL
NCBITaxon:2434	OTHER_BACTERIAL
NCBITaxon:2520	OTHER
NCBITaxon:2698	OTHER_BACTERIAL
NCBITaxon:2706	LAND_PLANT
NCBITaxon:2708	LAND_PLANT
NCBITaxon:2709	LAND_PLANT
NCBITaxon:2711	LAND_PLANT
NCBITaxon:2742	OTHER_BACTERIAL
NCBITaxon:2743	OTHER_BACTERIAL
NCBITaxon:2745	OTHER_BACTERIAL
NCBITaxon:2747	OTHER_BACTERIAL
NCBITaxon:2748	OTHER_BACTERIAL
NCBITaxon:2751	OTHER_BACTERIAL
NCBITaxon:2762	OTHER_EUKARYOTIC
NCBITaxon:2769	RED_ALGAL
