old_taxon_id	new_taxon_id	requested_by
NCBITaxon:594002	NCBITaxon:2169404	lotus
NCBITaxon:595333	NCBITaxon:1754164	lotus
NCBITaxon:595379	NCBITaxon:344319	lotus
NCBITaxon:612491	NCBITaxon:3412673	lotus
NCBITaxon:640603	NCBITaxon:2030664	lotus
NCBITaxon:668251	NCBITaxon:335854	lotus
NCBITaxon:668396	NCBITaxon:3286350	lotus
NCBITaxon:668403	NCBITaxon:3286359	lotus
NCBITaxon:668409	NCBITaxon:3286369	lotus
NCBITaxon:668414	NCBITaxon:3286376	lotus
NCBITaxon:668428	NCBITaxon:3286393	lotus
NCBITaxon:668429	NCBITaxon:3286394	lotus
NCBITaxon:668447	NCBITaxon:3286413	lotus
NCBITaxon:668462	NCBITaxon:3286435	lotus
NCBITaxon:668468	NCBITaxon:3286442	lotus
NCBITaxon:668469	NCBITaxon:3286443	lotus
NCBITaxon:668470	NCBITaxon:3286444	chebi_origins,lotus
NCBITaxon:668472	NCBITaxon:3286446	lotus
NCBITaxon:668482	NCBITaxon:3286459	lotus
NCBITaxon:668492	NCBITaxon:3286469	lotus
NCBITaxon:668493	NCBITaxon:3286471	lotus
NCBITaxon:668525	NCBITaxon:3286402	lotus
NCBITaxon:669659	NCBITaxon:2962500	lotus
NCBITaxon:684045	NCBITaxon:2907106	lotus
NCBITaxon:694396	NCBITaxon:1081577	lotus
NCBITaxon:700582	NCBITaxon:309013	lotus
NCBITaxon:702085	NCBITaxon:3435	lotus
NCBITaxon:717491	NCBITaxon:2720589	lotus
NCBITaxon:718014	NCBITaxon:37483	mibig
NCBITaxon:741638	NCBITaxon:3122715	lotus
NCBITaxon:748371	NCBITaxon:5062	lotus
NCBITaxon:749588	NCBITaxon:55170	lotus
NCBITaxon:768854	NCBITaxon:336042	lotus
NCBITaxon:797117	NCBITaxon:1961130	lotus
NCBITaxon:857495	NCBITaxon:509004	chebi_origins
NCBITaxon:859398	NCBITaxon:1366484	lotus
NCBITaxon:860712	NCBITaxon:2650045	lotus
NCBITaxon:865929	NCBITaxon:3288906	lotus
NCBITaxon:870205	NCBITaxon:1531356	lotus
NCBITaxon:871995	NCBITaxon:80913	lotus
NCBITaxon:872353	NCBITaxon:334235	lotus
NCBITaxon:881605	NCBITaxon:2592285	lotus
NCBITaxon:904585	NCBITaxon:281172	lotus
NCBITaxon:927753	NCBITaxon:642297	lotus
NCBITaxon:931930	NCBITaxon:182333	chebi_origins,lotus
NCBITaxon:940863	NCBITaxon:2873477	lotus
NCBITaxon:941763	NCBITaxon:941762	lotus
NCBITaxon:986244	NCBITaxon:2910975	lotus
NCBITaxon:992807	NCBITaxon:2780416	lotus
NCBITaxon:992848	NCBITaxon:246516	lotus
NCBITaxon:993650	NCBITaxon:137887	chebi_origins
NCBITaxon:1000424	NCBITaxon:52477	chebi_origins
NCBITaxon:1000427	NCBITaxon:193300	lotus
NCBITaxon:1031565	NCBITaxon:3054372	lotus
NCBITaxon:1031566	NCBITaxon:3054370	lotus
NCBITaxon:1036809	NCBITaxon:2724438	lotus
NCBITaxon:1048258	NCBITaxon:2986840	lotus
NCBITaxon:1048892	NCBITaxon:2770833	chebi_origins
NCBITaxon:1050062	NCBITaxon:497265	lotus
NCBITaxon:1055101	NCBITaxon:28258	lotus
NCBITaxon:1077933	NCBITaxon:310241	lotus
NCBITaxon:1094051	NCBITaxon:225779	lotus
NCBITaxon:1111056	NCBITaxon:2706187	lotus
NCBITaxon:1133551	NCBITaxon:2706189	lotus
NCBITaxon:1140085	NCBITaxon:2841586	lotus
NCBITaxon:1148790	NCBITaxon:2725244	lotus
NCBITaxon:1155363	NCBITaxon:3002674	lotus
NCBITaxon:1155369	NCBITaxon:36606	lotus
NCBITaxon:1160564	NCBITaxon:40000	lotus
NCBITaxon:1162023	NCBITaxon:2747961	lotus
NCBITaxon:1162777	NCBITaxon:2604249	lotus
NCBITaxon:1162817	NCBITaxon:515241	chebi_origins,lotus
NCBITaxon:1174790	NCBITaxon:2528873	lotus
NCBITaxon:1195597	NCBITaxon:1195128	lotus
NCBITaxon:1205788	NCBITaxon:259415	lotus
NCBITaxon:1207289	NCBITaxon:632928	lotus
NCBITaxon:1211466	NCBITaxon:212787	lotus
NCBITaxon:1217263	NCBITaxon:1053376	lotus
NCBITaxon:1219355	NCBITaxon:2942076	lotus
NCBITaxon:1231245	NCBITaxon:3085942	lotus
NCBITaxon:1231255	NCBITaxon:46423	lotus
NCBITaxon:1234189	NCBITaxon:1867339	lotus
NCBITaxon:1237406	NCBITaxon:153577	lotus
NCBITaxon:1247109	NCBITaxon:1288082	chebi_origins
NCBITaxon:1249052	NCBITaxon:2506376	lotus
NCBITaxon:1288024	NCBITaxon:172200	lotus
NCBITaxon:1290243	NCBITaxon:1695124	lotus
NCBITaxon:1290244	NCBITaxon:1695141	lotus
NCBITaxon:1297592	NCBITaxon:5076	lotus
NCBITaxon:1312798	NCBITaxon:1929421	lotus
NCBITaxon:1317870	NCBITaxon:2806806	lotus
NCBITaxon:1343377	NCBITaxon:64494	lotus
NCBITaxon:1351879	NCBITaxon:3286336	lotus
NCBITaxon:1353996	NCBITaxon:2894414	lotus
NCBITaxon:1389403	NCBITaxon:2782336	lotus
NCBITaxon:1414448	NCBITaxon:128442	lotus
NCBITaxon:1435489	NCBITaxon:203758	lotus
NCBITaxon:1462558	NCBITaxon:1679753	chebi_origins
NCBITaxon:1475459	NCBITaxon:2839962	lotus
NCBITaxon:1479502	NCBITaxon:109374	chebi_origins,lotus
NCBITaxon:1490225	NCBITaxon:686309	lotus
NCBITaxon:1504429	NCBITaxon:2731603	lotus
NCBITaxon:1504478	NCBITaxon:1504475	lotus
NCBITaxon:1527754	NCBITaxon:693685	lotus
NCBITaxon:1527756	NCBITaxon:280827	lotus
NCBITaxon:1533280	NCBITaxon:203897	lotus
NCBITaxon:1536650	NCBITaxon:3073917	lotus
NCBITaxon:1547544	NCBITaxon:1892770	chebi_origins,lotus
NCBITaxon:1548132	NCBITaxon:366670	lotus
NCBITaxon:1550033	NCBITaxon:285564	mibig
NCBITaxon:1559982	NCBITaxon:1912	mibig
NCBITaxon:1564685	NCBITaxon:336663	lotus
NCBITaxon:1574106	NCBITaxon:168508	lotus
NCBITaxon:1580144	NCBITaxon:2613482	lotus
NCBITaxon:1582468	NCBITaxon:2109287	lotus
NCBITaxon:1611469	NCBITaxon:263734	lotus
