organism_name	requested_by
Cupressus arizonica var. nevadensis	lotus
Cupressus dupreziana var. dupreziana	lotus
Cupressus goveniana var. abramsiana	lotus
Curio talinoides var. chordifolius	lotus
Curio talinoides var. mandraliscae	lotus
Curvularia ramosa	lotus
Cyanopsis muricata	lotus
Cyathea kalbreyeri	lotus
Cyclolobium claussenii	chebi_origins,lotus
Cyclolobium vecchii	lotus
Cydonia vulgaris	lotus
Cylindrospermopsis [Cylindrospermopsis]raciborskii	cyanometdb
Cylindrospermopsis alatosporum	cyanometdb
Cylindrospermopsis licheniforme Kutzing	cyanometdb
Cylindrospermopsis n.a.	cyanometdb
Cylindrospermum licheniforme Kützing	cyanometdb
Cylindrosprmum stagnale	cyanometdb
Cymbopogon validus	chebi_origins
