organism_name	requested_by
Xanthoparmelia metastrigosa	lotus
Xanthoparmelia xanthofarinosa	lotus
Xenia blumi	lotus
Xenia danae	lotus
Xenia elongata	lotus
Xenia florida	lotus
Xenia viridus	lotus
Xestospongia wiedenmayeri	lotus
Xylaria euglossa	lotus
Yucca arkansana	lotus
Yucca baccata var. brevifolia	lotus
Yucca gloriosa var. tristis	lotus
Yucca luminosa	lotus
Yucca smalliana	chebi_origins
Zaluzania angusta	lotus
Zaluzania augusta	lotus
Zanthoxylum anodynum	lotus
Zanthoxylum arborescens	lotus
Zanthoxylum budrunga	lotus
Zanthoxylum caudatum	chebi_origins,lotus
Zanthoxylum chalybaeum	lotus
Zanthoxylum ciliatum	lotus
Zanthoxylum insulare	lotus
Zanthoxylum integrifolium	lotus
Zanthoxylum limoncello	lotus
Zanthoxylum nigrum	lotus
Zanthoxylum rugosum	chebi_origins
Zanthoxylum spinosum	lotus
Zanthoxylum tetraspermum	chebi_origins,lotus
Zanthoxylum vitiense	lotus
Zea mays mays	lotus
Zephyranthes flava	chebi_origins,lotus
Zephyranthes texana	lotus
Zingiber amaricans	lotus
Zingiber aromaticum	chebi_origins
Zingiber mekongense	chebi_origins,lotus
Ziziphus xylopyra	lotus
Zizyphus lotus	lotus
Zizyphus spina-christi	lotus
Zizyphus vulgaris	lotus
Zooxanthellaceae	lotus
Zythiostroma	lotus
cf. Oscillatoria and Hormoscilla spp.	cyanometdb
citrus fruit	lotus
field sample: Microcystis bloom n.a.	cyanometdb
n.a. aeruginosa	cyanometdb
n.a. confervoides	cyanometdb
n.a. n.a.	cyanometdb
n.a. rubescens	cyanometdb
n.a. sp.	cyanometdb
